nama,kategori,harga,deskripsi,tag,icon,foto,aktif
Ambyar 5W,lampu,Rp9.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 130 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/ambyar-series.webp,ya
Ambyar 7W,lampu,Rp10.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 2 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok terbatas,💡,/assets/ambyar-series.webp,ya
Ambyar 9W,lampu,Rp12.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 63 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/ambyar-series.webp,ya
Ambyar 12W,lampu,Rp15.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 87 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/ambyar-series.webp,ya
Ambyar 15W,lampu,Rp18.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,💡,/assets/ambyar-series.webp,ya
Ambyar 20W,lampu,Rp22.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 0 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Stok habis,💡,/assets/ambyar-series.webp,ya
Ambyar 23W,lampu,Rp25.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 60 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,,ya
Obaja 5W,lampu,Rp9.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 75 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-value-series.webp,ya
Obaja 7W,lampu,Rp10.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 60 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-value-series.webp,ya
Obaja 9W,lampu,Rp12.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 70 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-value-series.webp,ya
Obaja 12W,lampu,Rp15.000,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 75 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-value-series.webp,ya
Obaja 15W,lampu,Rp18.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 65 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-value-series.webp,ya
Obaja 20W,lampu,Rp22.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 55 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-value-series.webp,ya
Obaja Kapsul 30W,lampu,Rp22.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 35 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-kapsul-30-40w.webp,ya
Obaja Kapsul 40W,lampu,Rp25.500,"Lampu LED untuk kebutuhan rumah, toko, dan penerangan harian. Stok kasir: 37 pcs. Harga bisa berubah, chat dulu untuk konfirmasi.",Ready,💡,/assets/obaja-kapsul-30-40w.webp,ya
